Filename,Alpha_Coeff,Alpha_Label,Pt,States,Rows,Cols,R2_Score,RMSE,ε
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_3.5E+04_states_SIM_02_05_2026_17_16_47.csv,1.0,1.00π,0.9107,35000.0,100,100,0.9991187922982393,0.003780188941384713,0.0008812077017606462
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_4.5E+04_states_SIM_02_05_2026_17_15_48.csv,1.0,1.00π,0.9107,45000.0,100,100,0.9993134658707502,0.0033366098775682446,0.0006865341292497665
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_2.0E+04_states_SIM_02_05_2026_17_18_14.csv,1.0,1.00π,0.9107,20000.0,100,100,0.9984233461891726,0.0050564129809979735,0.0015766538108273847
gpu_alpha_0.00pi_Pt_0.9107_100x100_mesh_4.0E+04_states_SIM_02_05_2026_16_55_34.csv,0.0,0.00π,0.9107,40000.0,100,100,0.9992257204412603,0.0035434251401400808,0.0007742795587396697
gpu_alpha_0.75pi_Pt_0.9107_100x100_mesh_1.0E+03_states_SIM_02_05_2026_17_15_23.csv,0.75,0.75π,0.9107,1000.0,100,100,0.9802109128730206,0.02661043920852575,0.019789087126979403
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_5.0E+04_states_SIM_25_05_2026_14_43_18.csv,1.25,1.25π,0.9107,50000.0,100,100,0.9996032276118635,0.003767991228422928,0.00039677238813649803
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_5.0E+03_states_SIM_02_05_2026_17_19_39.csv,1.0,1.00π,0.9107,5000.0,100,100,0.9938574994892504,0.0099803774391479,0.0061425005107495784
gpu_alpha_1.25pi_Pt_0.9107_100x100_mesh_1.0E+03_states_SIM_02_05_2026_17_24_51.csv,1.25,1.25π,0.9107,1000.0,100,100,0.9800235707410101,0.026736102234850234,0.019976429258989854
gpu_alpha_0.50pi_Pt_0.9107_100x100_mesh_5.0E+03_states_SIM_02_05_2026_17_10_10.csv,0.5,0.50π,0.9107,5000.0,100,100,0.9978270506166164,0.012252142614247943,0.002172949383383623
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_4.0E+04_states_SIM_02_05_2026_17_16_18.csv,1.0,1.00π,0.9107,40000.0,100,100,0.9992076965393945,0.0035844303142620187,0.0007923034606055098
gpu_alpha_1.00pi_Pt_0.9107_100x100_mesh_1.0E+03_states_SIM_02_05_2026_17_20_06.csv,1.0,1.00π,0.9107,1000.0,100,100,0.9679133994690841,0.022810574262815065,0.032086600530916
